index,street_name,area,city,price,size,type,date,lat,lng,alt
0,Hindergårdsgatan 23A,Örebro kommun,Örebro,2600000.0,82.8,Lägenhet,2025-05-30,59.28457110000001,15.2416367,0.0
1,Tranebergsvägen 24,Bromma,Stockholm,2200000.0,44.0,Lägenhet,2025-05-30,59.3338994,17.9859384,0.0
2,Bläcksvampsvägen 93,Sörskogen,Huddinge,2700000.0,175.0,Radhus,2025-05-30,59.22463459999999,17.9942196,0.0
3,Grönviksvägen 181,Bromma,Stockholm,14000000.0,106.0,Lägenhet,2025-05-30,59.3275984,17.9165265,0.0
4,Nygatan 8,Haga,Karlstad,2795000.0,112.5,Lägenhet,2025-05-30,59.38160449999999,13.5122404,0.0
5,Tegnérsgatan 11B,Herrhagen,Karlstad,1150000.0,38.1,Lägenhet,2025-05-30,59.374433,13.515585,0.0
6,Stora Trädgårdsgatan 15A,Fimmelstången,Västervik,625000.0,71.0,Lägenhet,2025-05-30,57.75929,16.6217683,0.0
7,Hovtångsvägen 17,Valsätra,Uppsala,4650000.0,212.0,Kedjehus,2025-05-30,59.8176617,17.6245675,0.0
8,Färnebogatan 16B,Skiljebo,Västerås,725000.0,60.0,Lägenhet,2025-05-30,59.6213194,16.5978706,0.0
9,Plantslingan 6,Länna,Huddinge,4450000.0,101.0,Parhus,2025-05-30,59.20926409999999,18.1322218,0.0
10,Stora Nygatan 67,Gamla Väster,Malmö,25000000.0,450.0,Villa,2025-05-30,55.6028888,12.9965055,0.0
11,Skallgångsbacken 37,Spånga,Stockholm,8850000.0,201.0,Villa,2025-05-30,59.3781273,17.8853504,0.0
12,Nypongränd 2,Lindsdal,Kalmar,2200000.0,144.0,Villa,2025-05-30,56.741757,16.2953916,0.0
13,Birger Jarlsgatan 20H,Kungsladugård,Göteborg,5300000.0,79.0,Lägenhet,2025-05-30,57.6852274,11.9240907,0.0
14,Malmgårdsvägen 12,Södermalm,Stockholm,4430000.0,42.0,Lägenhet,2025-05-30,59.3099101,18.0882363,0.0
15,Renstiernas gata 28,Södermalm,Stockholm,6100000.0,51.0,Lägenhet,2025-05-30,59.31373739999999,18.0843718,0.0
16,Topasgatan 78,Tynnered,Göteborg,2370000.0,95.3,Lägenhet,2025-05-30,57.6497983,11.9056722,0.0
17,Reimersholmsgatan 11,Södermalm,Stockholm,5625000.0,58.5,Lägenhet,2025-05-30,59.31780120000001,18.0243755,0.0
18,Parkvägen 15,Råsunda,Solna,2925000.0,40.0,Lägenhet,2025-05-30,59.36420159999999,17.9929796,0.0
19,Sjöviksvägen 100,Liljeholmskajen,Stockholm,10295000.0,122.0,Lägenhet,2025-05-30,59.30566880000001,18.0341491,0.0
20,Pomonagatan 5,Frösunda,Solna,5600000.0,95.2,Lägenhet,2025-05-30,59.3705061,18.0158384,0.0
21,Jägmästargatan 4,Hjorthagen,Stockholm,10225000.0,98.0,Lägenhet,2025-05-30,59.354192,18.098983,0.0
22,Fylkesvägen 4,Tröingeberg,Falkenberg,2550000.0,268.0,Villa,2025-05-30,56.9119737,12.5292755,0.0
23,Mälgåsen 163,Gällö,Bräcke,1170000.0,66.0,Fritidshus,2025-05-30,62.8470885,15.3172919,0.0
24,Ekensbergsvägen 17,Gröndal,Stockholm,5750000.0,80.0,Lägenhet,2025-05-30,59.31446640000001,17.9905689,0.0
